,CBSA,CBSA_type,CBSA_name,state,house_price,house_priceSD,rent_price,rent_priceSD,zip_codes,pop_2019_est,vacancy_pct,construction_19_Q2,house_price_cap,rent_price_cap,rent_pct
0,10420,Metropolitan Statistical Area,"Akron, OH",OH,188733.625,59289.78225983359,1077.7916666666667,182.14470577148202,24,703479,3.599999999999999,945.0,0.2682860824559084,0.0015320879040691573,0.571064995263386
1,10580,Metropolitan Statistical Area,"Albany-Schenectady-Troy, NY",NY,320199.0833333333,54279.56948494539,1619.25,113.9005095991959,24,880381,10.800000000000004,1870.0,0.36370512690906925,0.0018392605019872078,0.5057010104911294
2,10740,Metropolitan Statistical Area,"Albuquerque, NM",NM,199633.87121212122,31863.324452279416,1075.4242424242425,184.11061731420776,132,918018,6.799999999999985,2148.0,0.21746182668762618,0.001171463132993299,0.538698285964484
3,10900,Metropolitan Statistical Area,"Allentown-Bethlehem-Easton, PA-NJ",NJ,297545.9166666667,978.427073357438,1834.8333333333333,43.58655617031333,12,844052,3.1999999999999997,1345.0,0.3525208359990459,0.0021738392105383714,0.6166555245955035
4,10900,Metropolitan Statistical Area,"Allentown-Bethlehem-Easton, PA-NJ",PA,189792.30208333334,60681.545335615134,1294.4736842105262,255.597541113987,96,844052,3.199999999999994,1345.0,0.22485854198951408,0.0015336421028686932,0.6820475172076016
5,12020,Metropolitan Statistical Area,"Athens-Clarke County, GA",GA,186972.5,4128.153285120905,1325.5,28.47806173179629,12,213750,,,0.8747251461988305,0.006201169590643275,0.7089277834975731
6,12060,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Alpharetta, GA",GA,304925.31386292836,173950.0334107148,1502.9698412698413,256.5435038811402,1284,6020364,7.6000000000001835,32836.0,0.05064898299553455,0.00024964766935518204,0.49289769426800173
7,12260,Metropolitan Statistical Area,"Augusta-Richmond County, GA-SC",GA,160604.625,63294.04322314584,1104.1666666666667,188.83146968570142,72,608980,,,0.2637272570527768,0.0018131410993245537,0.6875061453969129
8,12420,Metropolitan Statistical Area,"Austin-Round Rock-Georgetown, TX",TX,426383.8489583333,227249.506020114,1634.2035087719298,267.5105844956276,576,2227083,9.10000000000003,32037.0,0.1914539552222945,0.0007337865309788319,0.383270499753762
9,12540,Metropolitan Statistical Area,"Bakersfield, CA",CA,261557.95,69278.50945166845,1418.2,447.93945565467135,60,900202,,,0.2905547310492534,0.001575424182572356,0.5422125383686484
10,12580,Metropolitan Statistical Area,"Baltimore-Columbia-Towson, MD",MD,283559.7772727273,116847.59466184302,1638.5884146341464,320.3513978822574,660,2800053,8.100000000000035,6967.0,0.10126943214029423,0.0005851990711012064,0.5778634862793516
11,12700,Metropolitan Statistical Area,"Barnstable Town, MA",MA,384675.5,2921.3291651077443,1911.8333333333333,48.639365526164895,12,212990,,,1.8060730550730082,0.008976164765168944,0.4969989857251978
12,12940,Metropolitan Statistical Area,"Baton Rouge, LA",LA,225556.33333333334,42427.0645242143,1345.4791666666667,93.29203509441028,48,854884,9.0,3622.0,0.2638443734276619,0.0015738733754131165,0.5965158001918219
13,13820,Metropolitan Statistical Area,"Birmingham-Hoover, AL",AL,229193.88888888888,102294.7390991869,1294.5,333.7970369921847,108,1090435,13.5,3202.0,0.21018574136825108,0.0011871409116545233,0.5648056352093933
14,14260,Metropolitan Statistical Area,"Boise City, ID",ID,329749.99074074073,87670.68508426347,1323.7463414634146,260.8478334291599,216,749202,,,0.4401349579162105,0.0017668750770331828,0.4014393870003725
15,14460,Metropolitan Statistical Area,"Boston-Cambridge-Newton, MA-NH",MA,948267.1745495496,665971.0262896904,2440.3359818388194,515.8486482457982,888,4873019,2.9000000000000483,15088.0,0.1945954190922608,0.0005007852384402399,0.2573468793747964
16,14460,Metropolitan Statistical Area,"Boston-Cambridge-Newton, MA-NH",NH,354574.1041666667,103023.8955647152,1591.2340425531916,454.33425794930554,48,4873019,2.900000000000002,15088.0,0.07276271735584587,0.0003265396754154235,0.4487733378874268
17,14500,Metropolitan Statistical Area,"Boulder, CO",CO,684382.1666666666,271924.0419227709,2017.7407407407406,244.25531954988855,108,326196,,,2.0980703830416885,0.006185669783629292,0.29482660989959664
18,14860,Metropolitan Statistical Area,"Bridgeport-Stamford-Norwalk, CT",CT,628584.2647058824,486204.90134768374,2247.162162162162,672.804897486824,204,943332,5.5,2326.0,0.6663446853344129,0.002382154068940905,0.35749577078796585
19,15380,Metropolitan Statistical Area,"Buffalo-Cheektowaga, NY",NY,415987.25,3571.17984387132,1126.6666666666667,23.54235383818757,12,1127983,10.400000000000002,1693.0,0.3687885810335794,0.0009988330202375982,0.2708416343690021
20,15980,Metropolitan Statistical Area,"Cape Coral-Fort Myers, FL",FL,243882.318627451,109718.4818961577,1411.274111675127,234.79360452178935,204,770577,10.5,9105.0,0.31649311960706195,0.0018314511225680588,0.578670122384295
21,16700,Metropolitan Statistical Area,"Charleston-North Charleston, SC",SC,342964.8728070175,248206.1596624562,1553.796460176991,299.861320814718,228,802122,14.900000000000059,6695.0,0.4275719563944357,0.0019371073978484458,0.45304828085157717
22,16740,Metropolitan Statistical Area,"Charlotte-Concord-Gastonia, NC-SC",NC,313127.2083333333,183184.56520287436,1466.7301255230125,181.4854279496166,480,2636883,7.300000000000057,24637.0,0.1187489958156404,0.0005562363311239113,0.46841350303919754
23,16740,Metropolitan Statistical Area,"Charlotte-Concord-Gastonia, NC-SC",SC,274630.3888888889,61458.693230158504,1483.375,300.0438408826494,36,2636883,7.300000000000005,24637.0,0.10414963003246215,0.0005625486606724682,0.5401350542456356
